Date,Price
2024-12-31,89031.24
2024-12-30,89674.54
2024-12-29,91258.12
2024-12-28,90321.71
2024-12-27,91917.91
2024-12-26,95487.59
2024-12-25,94839.87
2024-12-24,91006.07
2024-12-23,91152.85
2024-12-22,93216.45
2024-12-21,93712.26
2024-12-20,94061.51
2024-12-19,96653.94
2024-12-18,101138.94
2024-12-17,100818.99
2024-12-16,99243.02
2024-12-15,96527.34
2024-12-14,96576.13
2024-12-13,95515.95
2024-12-12,96304.99
2024-12-11,91798.16
2024-12-10,92316.53
2024-12-09,95815.53
2024-12-08,94530.38
2024-12-07,94482.13
2024-12-06,91242.09
2024-12-05,93955.84
2024-12-04,91343.66
2024-12-03,91292.34
2024-12-02,92260.45
2024-12-01,91178.88
2024-11-30,92119.85
2024-11-29,90577.81
2024-11-28,90855.12
2024-11-27,87675.34
2024-11-26,89146.75
2024-11-25,93529.59
2024-11-24,93854.16
2024-11-23,95022.91
2024-11-22,94091.02
2024-11-21,89452.8
2024-11-20,87057.57
2024-11-19,85461.03
2024-11-18,85271.44
2024-11-17,85882.22
2024-11-16,86355.34
2024-11-15,82875.17
2024-11-14,85732.57
2024-11-13,82847.25
2024-11-12,83185.05
2024-11-11,75115.98
2024-11-10,71632.07
2024-11-09,71381.03
2024-11-08,70311.35
2024-11-07,70484.2
2024-11-06,63434.73
2024-11-05,62362.38
2024-11-04,63222.65
2024-11-03,63717.24
2024-11-02,63918.38
2024-11-01,64512.31
2024-10-31,66622.26
2024-10-30,67210.61
2024-10-29,64624.41
2024-10-28,62920.05
2024-10-27,62047.17
2024-10-26,61702.48
2024-10-25,62971.48
2024-10-24,61624.3
2024-10-23,62396.13
2024-10-22,62288.86
2024-10-21,63490.24
2024-10-20,62876.63
2024-10-19,62946.57
2024-10-18,62239.03
2024-10-17,62262.73
2024-10-16,61600.12
2024-10-15,60540.0
2024-10-14,57437.48
2024-10-13,57746.86
2024-10-12,57063.38
2024-10-11,55127.66
2024-10-10,55368.1
2024-10-09,56609.62
2024-10-08,56710.36
2024-10-07,57261.05
2024-10-06,56537.93
2024-10-05,56525.16
2024-10-04,55060.41
2024-10-03,54892.13
2024-10-02,54983.46
2024-10-01,56865.96
2024-09-30,58764.41
2024-09-29,58994.92
2024-09-28,58891.52
2024-09-27,58317.27
2024-09-26,56733.8
2024-09-25,57458.12
2024-09-24,56998.03
2024-09-23,57039.24
2024-09-22,56752.01
2024-09-21,56546.02
2024-09-20,56401.01
2024-09-19,55470.04
2024-09-18,54212.37
2024-09-17,52287.54
2024-09-16,53378.13
2024-09-15,54135.28
2024-09-14,54630.29
2024-09-13,52466.37
2024-09-12,52081.3
2024-09-11,52311.94
2024-09-10,51668.25
2024-09-09,49466.16
2024-09-08,48817.76
2024-09-07,48645.59
2024-09-06,50542.59
2024-09-05,52321.11
2024-09-04,51982.25
2024-09-03,53412.14
2024-09-02,51903.13
2024-09-01,53315.75
2024-08-31,53448.02
2024-08-30,53598.01
2024-08-29,53060.82
2024-08-28,53237.34
2024-08-27,56321.14
2024-08-26,57494.31
2024-08-25,57338.54
2024-08-24,57213.83
2024-08-23,54319.14
2024-08-22,54840.2
2024-08-21,53032.38
2024-08-20,53667.26
2024-08-19,53048.17
2024-08-18,53917.39
2024-08-17,53387.21
2024-08-16,52458.49
2024-08-15,53342.25
2024-08-14,55119.67
2024-08-13,54274.42
2024-08-12,53807.89
2024-08-11,55783.09
2024-08-10,55731.79
2024-08-09,56537.16
2024-08-08,50356.45
2024-08-07,51285.46
2024-08-06,49304.35
2024-08-05,53266.54
2024-08-04,55585.7
2024-08-03,56238.33
2024-08-02,60592.81
2024-08-01,59700.82
2024-07-31,61208.53
2024-07-30,61759.64
2024-07-29,62894.37
2024-07-28,62377.15
2024-07-27,62462.19
2024-07-26,60615.49
2024-07-25,60313.64
2024-07-24,60764.15
2024-07-23,62066.91
2024-07-22,62533.41
